title,Vendor,price,rating,weight,dimension,delivery_time,delivery cost,review
For The Beautiful You Women's Handbag,Q HAN Enterprises,350 rupees ,4.0 out of 5,200 g,1778x508x1016 cm,46 hours,99 rupees ,42 ratings
ADISA Women Girls Floral Print Sling Bag,Cocoblu Retail,498 rupees ,4.2 out of 5,330 g,1842x762x1397 cm,118 hours,40 rupees ,113 ratings
Diva Dale Quilted Black Chain Multi-Pockets Party-Wear Sling Bag For Women,AJ INTERNATIONAL IND,799 rupees ,4.1 out of 5,300 g,17x6x11 cm,70 hours,79 rupees ,2 ratings
EXOTIC bridal sling bag,UBIQUITOUSEXOTIC®,849 rupees ,4.2 out of 5,340 g,14x45x11 cm,46 hours,99 rupees ,65 ratings
Lavie Tinsel Framed Clutch,Cocoblu Retail,729 rupees ,4.0 out of 5,300 g,20x5x11 cm,46 hours,99 rupees ,4 ratings
ADISA Satin Knot formal party clutch with gold chain for women and girls,Cocoblu Retail,499 rupees ,5.0 out of 5,300 g,2032x508x1207 cm,118 hours,40 rupees ,140 ratings
ADISA Women's Girls Cross Body Sling Bag with Pouch,Cocoblu Retail,598 rupees ,4.2 out of 5,450 g,2184x635x1549 cm,46 hours,99 rupees ,1 rating
"ANANDI Women’s Beautiful Golden Box Clutch Bag, Stylish Trendy Ladies Handbag, Sling Bag, Woman Wallet or Purse for Evening Party, Rose Gold Shimmer Bridal Clutch for Wedding.",Anandi Creation,799 rupees ,5.0 out of 5,250 g,21x7x14 cm,166 hours,40 rupees ,22 ratings
LX Women's Sling Bag Party Shopping Collage Girls Ladies Purse Crossbody Sling Strap,LEKHX,499 rupees ,4.2 out of 5,430 g,25x10x16 cm,166 hours,40 rupees ,39 ratings
INOVERA Women Crossbody Straw Bag | Hexagon Shape Handbags | Shoulder Sling Bags |Summer Beach Purses with Tassel (White),Opus_Retail,589 rupees ,5.0 out of 5,260 g,20x7x19 cm,70 hours,79 rupees ,287 ratings
"Kuber Industries Polyester Embroidered Woman Potli Bag, Pink - CTKTC31391",Kuber Mart Industries Pvt. Ltd.,393 rupees ,4.2 out of 5,300 g,17x6x11 cm,70 hours,79 rupees ,556 ratings
Trend Overseas Women gift Silver Brass Metal bag Bridal Clutch Girls Party Purse,Trend Overseas,1699 rupees ,4.3 out of 5,300 g,17x6x11 cm,46 hours,99 rupees ,"1,587 ratings"
TOOBA Girl's Clutch.,Tooba handicraft,595 rupees ,4.0 out of 5,240 g,17x6x17 cm,166 hours,40 rupees ,33 ratings
ADISA women girls round embroided sling bag (SL5080),Cocoblu Retail,399 rupees ,4.2 out of 5,300 g,1905x635x1905 cm,46 hours,99 rupees ,43 ratings
ADISA women girls V-flap crossbody sling bag with gold chain,Cocoblu Retail,498 rupees ,4.0 out of 5,300 g,17x6x11 cm,46 hours,99 rupees ,111 ratings
Lino Perros Women Clutch,LinoPerros,1660 rupees ,3.9 out of 5,200 g,14x6x18 cm,46 hours,99 rupees ,14 ratings
Ayashilp Bridal Women's Antique Brass Purse Ethnic Handmade Metal Clutch Bag (Color: Silver),Rey Retails,749 rupees ,4.3 out of 5,300 g,17x6x11 cm,70 hours,79 rupees ,281 ratings
EXOTIC Bridal ring clutch,UBIQUITOUSEXOTIC®,849 rupees ,4.1 out of 5,440 g,22x3x12 cm,70 hours,79 rupees ,14 ratings
ZOUK Printed Women's Jute Handcrafted Clutch,Cocoblu Retail,799 rupees ,3.7 out of 5,310 g,20x5x12 cm,70 hours,79 rupees ,69 ratings
Umera Clutch Wristlet Black For women,Umera Handicrafts,599 rupees ,4.3 out of 5,300 g,1778x381x1016 cm,70 hours,79 rupees ,60 ratings
Diva Dale Fashionable Multi Pockets Phone Holder Card Holder Transparent Back Casual Party-Wear Spacious Crossbody Sling Bag For Women And Girls,AJ INTERNATIONAL IND,799 rupees ,4.3 out of 5,300 g,17x6x11 cm,94 hours,40 rupees ,60 ratings
"PALAY® Shoulder Bag for Women PU Handbag with Detachable Strap, Tote Bag for Women Vintage Brown Tote Bag Large Capacity Shoulder Bag for Women",Xspace Offer,1399 rupees ,3.9 out of 5,550 g,28x22x6 cm,190 hours,40 rupees ,27 ratings
Nahhar Fashion White Pearls Hand Carry Crafted Attractive Stylish Design Bag for Women to Suit All Occasions (Silk),NAHHAR FASHIONS,1899 rupees ,4.1 out of 5,300 g,17x6x11 cm,166 hours,40 rupees ,231 ratings
Lavie Flashy Envelope Clutch,Cocoblu Retail,599 rupees ,3.8 out of 5,300 g,23x1x13 cm,70 hours,79 rupees ,63 ratings
